Scene ID,Safety Score,Realism Score,Comfort Score,Test Score,Final Score,Is Out Dynamic,Planner Avg Score,Is Valid Submit
8_3_1_233,30,5.32,8.0,20.02,63.34,0,91.97,1
8_3_1_237,30,6.86,5.33,24.66,66.86,0,65.31,1
8_3_1_312,30,7.29,6.93,20.02,64.24,0,96.11,1
8_3_1_485,0,0,0,0,0,1,0,1
8_3_1_520,30,7.84,5.48,20.02,63.33,0,85.58,1
8_3_2_146,30,4.91,7.88,0.0,42.79,0,92.39,1
8_3_2_223,30,7.05,6.0,0.0,43.05,0,80.37,1
8_3_2_272,30,4.16,8.0,20.06,62.22,0,88.02,1
8_3_2_534,30,3.59,5.2,20.08,58.87,0,86.18,1
8_3_2_565,30,10.51,4.92,20.02,65.45,0,92.44,1
8_3_3_183,0,0,0,0,0,1,0,1
8_3_3_364,30,5.17,7.21,20.02,62.41,0,87.24,1
8_3_3_407,30,6.58,6.73,20.02,63.33,0,92.62,1
8_3_3_425,0,6.24,6.89,0,13.14,0,88.14,1
8_3_3_74,0,0,0,0,0,1,0,1
8_3_4_516,30,6.73,4.24,2.0,42.96,0,74.12,1
8_3_4_644,30,5.73,7.19,28.02,70.94,0,40.79,1
8_47_straight_straight_50,30,8.4,5.11,0.0,43.51,0,81.07,1
8_50_straight_straight_51,0,0,0,0,0,1,0,1
8_51_straight_straight_54,0,0,0,0,0,1,0,1
8_55_straight_straight_58,0,0,0,0,0,1,0,1
8_5_1_138,30,4.72,8.0,0.0,42.72,0,93.48,1
8_5_1_288,0,0,0,0,0,1,0,1
8_5_1_30,0,6.66,5.95,0,12.61,0,90.92,1
8_5_1_326,30,6.56,2.95,20.38,59.88,0,83.86,1
8_5_1_377,30,5.88,8.02,0.0,43.9,0,90.88,1
8_5_1_41,0,0,0,0,0,1,0,1
8_5_1_431,30,5.74,5.9,30.52,72.16,0,41.43,1
8_5_1_438,30,8.11,5.22,20.9,64.23,0,87.2,1
8_5_2_144,0,0,0,0,0,1,0,1
8_5_2_300,30,9.29,5.21,20.12,64.61,0,91.78,1
8_5_2_365,30,6.92,6.56,0.0,43.48,0,92.56,1
8_5_3_206,30,5.83,7.53,0.0,43.35,0,84.83,1
8_5_3_227,0,0,0,0,0,1,0,1
8_5_3_277,30,5.64,4.67,20.02,60.34,0,85.54,1
8_5_3_291,30,5.99,6.64,0.0,42.63,0,90.24,1
8_5_3_40,30,7.37,6.31,21.11,64.8,0,81.19,1
8_5_3_423,30,20.0,10.0,20.03,80.03,0,95.0,1
8_5_3_46,30,20.0,10.0,20.01,80.01,0,92.45,1
8_64_straight_straight_66,0,0,0,0,0,1,0,1
8_6_1_140,30,4.7,8.42,20.02,63.14,0,93.01,1
8_6_1_392,0,0,0,0,0,1,0,1
8_6_1_5,30,5.72,4.63,20.0,60.36,0,86.27,1
8_6_1_84,30,6.42,7.23,20.04,63.69,0,86.29,1
8_6_2_127,0,0,0,0,0,1,0,1
8_6_2_338,30,9.82,4.51,0.0,44.33,0,89.79,1
8_6_2_419,30,6.39,7.75,0.0,44.14,0,86.91,1
8_6_2_423,30,5.15,3.53,0.0,38.68,0,91.27,1
8_6_2_471,30,20.0,8.0,20.03,78.03,0,86.43,1
8_6_2_523,30,8.57,7.21,20.03,65.81,0,87.41,1
8_6_2_538,0,0,0,0,0,1,0,1
8_6_3_216,30,9.49,4.73,0.0,44.22,0,90.24,1
8_6_3_263,30,5.27,6.57,20.24,62.08,0,94.06,1
8_6_3_66,30,5.26,7.16,20.01,62.44,0,94.55,1
8_6_4_134,0,0,0,0,0,1,0,1
8_6_4_189,0,0,0,0,0,1,0,1
8_6_4_212,0,4.99,6.32,0,11.31,0,92.8,1
8_6_4_213,0,4.25,7.25,0,11.5,0,51.86,1
8_6_4_217,0,0,0,0,0,1,0,1
8_6_4_218,0,8.15,6.22,0,14.37,0,93.99,1
8_6_4_240,30,3.69,7.72,0.0,41.41,0,86.51,1
8_6_4_248,30,9.17,9.15,20.02,68.34,0,95.32,1
